tweet_id,retweet_count,favorite_count
871032628920680449,3844,22633
870804317367881728,6269,33609
870726314365509632,3,120
870656317836468226,2671,12417
870374049280663552,26515,82747
870308999962521604,4203,21833
870063196459192321,8460,36757
869772420881756160,10167,42467
869702957897576449,6420,28307
869596645499047938,3174,16024
869227993411051520,3841,20509
868880397819494401,14746,65927
868639477480148993,2136,0
868622495443632128,5872,27359
868552278524837888,2136,10198
867900495410671616,4248,24320
867774946302451713,7478,34219
867421006826221569,2570,16240
867072653475098625,128,0
867051520902168576,8032,32480
866720684873056260,4919,20246
866686824827068416,3557,19485
866450705531457537,36024,123354
866334964761202691,14787,53112
866094527597207552,8580,0
865718153858494464,5743,25854
865359393868664832,5119,26753
865006731092295680,7866,28305
864873206498414592,8941,32656
864279568663928832,3119,14787
864197398364647424,9186,30530
863907417377173506,4248,20873
863553081350529029,4283,15486
863471782782697472,2534,0
863432100342583297,5401,24140
863427515083354112,99,2293
863079547188785154,1126,8889
863062471531167744,2534,8654
862831371563274240,5232,19456
862722525377298433,3635,17321
862457590147678208,5106,20847
862096992088072192,24014,75800
861383897657036800,11027,36648
861288531465048066,4295,17466
861005113778896900,3926,16996
860981674716409858,2235,0
860924035999428608,844,0
860563773140209665,2235,7641
860524505164394496,5441,24042
860276583193509888,3592,18607
860184849394610176,6028,16990
860177593139703809,31951,0
859924526012018688,4236,19903
859851578198683649,3630,15689
859607811541651456,1626,18946
859196978902773760,31341,91806
859074603037188101,14091,34577
858860390427611136,8445,0
858843525470990336,3601,15847
858471635011153920,5029,21964
858107933456039936,3026,16074
857989990357356544,2688,16473
857746408056729600,11049,35024
857393404942143489,1708,6061
857263160327368704,4709,20481
857214891891077121,19,236
857062103051644929,178,0
857029823797047296,4168,19379
856602993587888130,11154,0
856543823941562368,3003,16666
856526610513747968,1958,12116
856330835276025856,709,0
856288084350160898,17,530
856282028240666624,6608,28418
855862651834028034,28,358
855860136149123072,1085,5162
855857698524602368,2216,12151
855851453814013952,18532,46609
855818117272018944,5694,27299
855459453768019968,8633,30784
855245323840757760,6274,0
855138241867124737,48,0
854732716440526848,6422,23533
854482394044301312,7234,30225
854365224396361728,4936,19490
854120357044912130,7907,32988
854010172552949760,3319,16718
853760880890318849,6121,29570
853639147608842240,10712,36087
853299958564483072,3763,16063
852936405516943360,2140,0
852912242202992640,1946,9386
852672615818899456,2280,15467
852553447878664193,3728,16978
852311364735569921,10497,34369
852226086759018497,7224,20777
852189679701164033,1676,11904
851953902622658560,10246,0
851861385021730816,23,0
851591660324737024,3684,16836
851464819735769094,7524,25248
851224888060895234,6092,21517
850753642995093505,9904,32320
850380195714523136,2787,13608
850333567704068097,357,3571
850145622816686080,4083,17011
850019790995546112,5226,21332
849776966551130114,8116,31777
849668094696017920,5295,0
849412302885593088,3353,16566
849336543269576704,2020,11932
849051919805034497,9117,44376
848690551926992896,4617,26360
848324959059550208,4926,25895
848213670039564288,804,8547
848212111729840128,3302,17095
847978865427394560,3488,0
847971574464610304,463,0
847962785489326080,5475,24597
847842811428974592,1443,5742
847617282490613760,452,7344
847606175596138505,3634,19648
847251039262605312,4606,21423
847157206088847362,6290,20941
847116187444137987,3422,22460
846874817362120707,4212,21066
846514051647705089,12490,46898
846505985330044928,3330,14851
846153765933735936,9756,33300
846139713627017216,10606,32401
846042936437604353,3107,16799
845812042753855489,9425,30787
845677943972139009,5147,26370
845397057150107648,1957,8015
845306882940190720,5811,24525
845098359547420673,8264,0
844979544864018432,2787,14340
844973813909606400,3462,15906
844704788403113984,11154,40752
844580511645339650,3389,17341
844223788422217728,2371,14344
843981021012017153,3150,15908
843856843873095681,4993,22547
843604394117681152,2967,17784
843235543001513987,6550,22660
842846295480000512,3878,16033
842765311967449089,1374,7121
842535590457499648,3786,19070
842163532590374912,6274,25818
842115215311396866,3274,14787
841833993020538882,16655,0
841680585030541313,8388,27036
841439858740625411,3976,13346
841320156043304961,5878,20850
841314665196081154,5096,16733
841077006473256960,5746,24196
840761248237133825,1901,0
840728873075638272,17572,0
840698636975636481,2,192
840696689258311684,1068,12995
840632337062862849,1901,9491
840370681858686976,4944,17408
840268004936019968,6212,20398
839990271299457024,2497,14200
839549326359670784,8445,29127
839290600511926273,154,0
839239871831150596,7129,28806
838952994649550848,4319,20769
838921590096166913,2255,11827
838916489579200512,37,0
838831947270979586,12043,0
838561493054533637,1439,11565
838476387338051585,5242,23960
838201503651401729,11003,0
838150277551247360,357,1780
838085839343206401,0,147
838083903487373313,3429,18687
837820167694528512,8580,36244
837482249356513284,481,4069
837471256429613056,2511,13565
837366284874571778,5769,22412
837110210464448512,2611,16985
836989968035819520,2497,13511
836753516572119041,5028,20414
836677758902222849,2426,13383
836648853927522308,603,0
836397794269200385,30107,0
836380477523124226,3218,15636
836260088725786625,4676,22576
836001077879255040,4689,20294
835685285446955009,8919,0
835574547218894849,3958,18895
835536468978302976,1858,0
835309094223372289,22975,0
835297930240217089,3264,17419
835264098648616962,1858,8255
835246439529840640,79,2216
835172783151792128,6278,27746
835152434251116546,3302,23874
834931633769889797,1802,11520
834786237630337024,5977,22459
